beta :[ 0.05754851 -0.04571616  0.05077403] and der [-0.00095956  0.00076245 -0.00083886]
beta :[ 0.05850807 -0.04647861  0.05161289] and der [-0.00095728  0.00076065 -0.00083659]
beta :[ 0.05946535 -0.04723926  0.05244948] and der [-0.00095501  0.00075885 -0.00083433]
beta :[ 0.06042036 -0.0479981   0.05328381] and der [-0.00095274  0.00075705 -0.00083208]
beta :[ 0.0613731  -0.04875516  0.05411589] and der [-0.00095048  0.00075526 -0.00082983]
beta :[ 0.06232358 -0.04951042  0.05494572] and der [-0.00094823  0.00075348 -0.00082759]
beta :[ 0.06327182 -0.0502639   0.05577331] and der [-0.00094598  0.0007517  -0.00082535]
beta :[ 0.0642178  -0.0510156   0.05659867] and der [-0.00094374  0.00074992 -0.00082312]
beta :[ 0.06516154 -0.05176552  0.05742179] and der [-0.0009415   0.00074815 -0.0008209 ]
beta :[ 0.06610304 -0.05251367  0.05824268] and der [-0.00093927  0.00074638 -0.00081868]
beta :[ 0.06704231 -0.05326005  0.05906136] and der [-0.00093704  0.00074462 -0.00081646]
beta :[ 0.06797935 -0.05400467  0.05987782] and der [-0.00093482  0.00074286 -0.00081425]
beta :[ 0.06891417 -0.05474753  0.06069208] and der [-0.00093261  0.0007411  -0.00081205]
beta :[ 0.06984678 -0.05548863  0.06150413] and der [-0.0009304   0.00073935 -0.00080985]
beta :[ 0.07077718 -0.05622798  0.06231398] and der [-0.00092819  0.00073761 -0.00080766]
beta :[ 0.07170537 -0.05696559  0.06312165] and der [-0.00092599  0.00073587 -0.00080548]
beta :[ 0.07263136 -0.05770146  0.06392712] and der [-0.0009238   0.00073413 -0.0008033 ]
beta :[ 0.07355516 -0.05843558  0.06473042] and der [-0.00092161  0.00073239 -0.00080112]
beta :[ 0.07447678 -0.05916798  0.06553154] and der [-0.00091943  0.00073066 -0.00079895]
beta :[ 0.0753962  -0.05989864  0.06633049] and der [-0.00091725  0.00072894 -0.00079679]
beta :[ 0.07631346 -0.06062758  0.06712727] and der [-0.00091508  0.00072722 -0.00079463]
beta :[ 0.07722853 -0.0613548   0.0679219 ] and der [-0.00091291  0.0007255  -0.00079247]
beta :[ 0.07814145 -0.0620803   0.06871438] and der [-0.00091075  0.00072379 -0.00079033]
beta :[ 0.0790522  -0.06280409  0.0695047 ] and der [-0.0009086   0.00072208 -0.00078818]
beta :[ 0.07996079 -0.06352618  0.07029289] and der [-0.00090644  0.00072038 -0.00078605]
beta :[ 0.08086724 -0.06424655  0.07107893] and der [-0.0009043   0.00071868 -0.00078392]
beta :[ 0.08177154 -0.06496523  0.07186285] and der [-0.00090216  0.00071698 -0.00078179]
beta :[ 0.0826737  -0.06568222  0.07264464] and der [-0.00090002  0.00071529 -0.00077967]
beta :[ 0.08357372 -0.06639751  0.07342431] and der [-0.0008979   0.0007136  -0.00077755]
beta :[ 0.08447162 -0.06711111  0.07420186] and der [-0.00089577  0.00071192 -0.00077544]
beta :[ 0.08536739 -0.06782303  0.0749773 ] and der [-0.00089365  0.00071024 -0.00077334]
beta :[ 0.08626104 -0.06853327  0.07575064] and der [-0.00089154  0.00070857 -0.00077124]
beta :[ 0.08715258 -0.06924184  0.07652188] and der [-0.00088943  0.0007069  -0.00076914]
beta :[ 0.08804201 -0.06994874  0.07729102] and der [-0.00088733  0.00070523 -0.00076706]
beta :[ 0.08892933 -0.07065397  0.07805808] and der [-0.00088523  0.00070357 -0.00076497]
beta :[ 0.08981456 -0.07135754  0.07882305] and der [-0.00088314  0.00070191 -0.00076289]
beta :[ 0.0906977  -0.07205944  0.07958594] and der [-0.00088105  0.00070025 -0.00076082]
beta :[ 0.09157874 -0.0727597   0.08034676] and der [-0.00087896  0.0006986  -0.00075875]
beta :[ 0.09245771 -0.0734583   0.08110552] and der [-0.00087689  0.00069696 -0.00075669]
beta :[ 0.0933346  -0.07415526  0.08186221] and der [-0.00087481  0.00069531 -0.00075463]
beta :[ 0.09420941 -0.07485057  0.08261684] and der [-0.00087275  0.00069368 -0.00075258]
beta :[ 0.09508216 -0.07554425  0.08336942] and der [-0.00087069  0.00069204 -0.00075053]
beta :[ 0.09595284 -0.07623629  0.08411995] and der [-0.00086863  0.00069041 -0.00074849]
beta :[ 0.09682147 -0.0769267   0.08486844] and der [-0.00086658  0.00068879 -0.00074645]
0.001,100,0.097688047146,-0.0776154892458,0.0856148995317
beta :[ 0.  0.  0.] and der [-0.0054823  0.0043541 -0.0048764]
beta :[ 0.0054823 -0.0043541  0.0048764] and der [-0.00541694  0.00430238 -0.00481117]
beta :[ 0.01089924 -0.00865648  0.00968756] and der [-0.00535238  0.00425129 -0.00474676]
beta :[ 0.01625162 -0.01290776  0.01443433] and der [-0.00528861  0.00420083 -0.00468317]
beta :[ 0.02154023 -0.01710859  0.01911749] and der [-0.00522564  0.00415099 -0.00462038]
beta :[ 0.02676587 -0.02125958  0.02373787] and der [-0.00516344  0.00410176 -0.00455838]
beta :[ 0.03192931 -0.02536134  0.02829625] and der [-0.00510201  0.00405314 -0.00449716]
beta :[ 0.03703132 -0.02941448  0.0327934 ] and der [-0.00504134  0.00400511 -0.00443671]
beta :[ 0.04207266 -0.03341959  0.03723011] and der [-0.00498142  0.00395767 -0.00437703]
beta :[ 0.04705409 -0.03737726  0.04160714] and der [-0.00492224  0.00391082 -0.0043181 ]
beta :[ 0.05197633 -0.04128808  0.04592523] and der [-0.00486379  0.00386453 -0.00425991]
beta :[ 0.05684012 -0.04515261  0.05018514] and der [-0.00480607  0.00381882 -0.00420245]
beta :[ 0.06164619 -0.04897143  0.0543876 ] and der [-0.00474905  0.00377367 -0.00414573]
beta :[ 0.06639524 -0.0527451   0.05853332] and der [-0.00469274  0.00372907 -0.00408971]
beta :[ 0.07108798 -0.05647417  0.06262304] and der [-0.00463713  0.00368502 -0.00403441]
beta :[ 0.07572511 -0.06015919  0.06665745] and der [-0.0045822   0.00364151 -0.0039798 ]
beta :[ 0.0803073  -0.06380069  0.07063725] and der [-0.00452795  0.00359853 -0.00392589]
beta :[ 0.08483525 -0.06739922  0.07456313] and der [-0.00447437  0.00355607 -0.00387265]
beta :[ 0.08930961 -0.07095529  0.07843578] and der [-0.00442145  0.00351414 -0.00382009]
beta :[ 0.09373106 -0.07446944  0.08225587] and der [-0.00436918  0.00347273 -0.00376819]
beta :[ 0.09810024 -0.07794216  0.08602406] and der [-0.00431756  0.00343181 -0.00371694]
