beta :[ 0.40572094 -0.32203908  0.31311916] and der [-0.00168374  0.00131296 -0.00070436]
beta :[ 0.40740468 -0.32335204  0.31382352] and der [-0.00165031  0.00128566 -0.00067447]
beta :[ 0.40905499 -0.32463771  0.31449799] and der [-0.00161769  0.00125901 -0.00064539]
beta :[ 0.41067268 -0.32589671  0.31514338] and der [-0.00158585  0.00123297 -0.00061709]
beta :[ 0.41225853 -0.32712969  0.31576047] and der [-0.00155478  0.00120755 -0.00058954]
beta :[ 0.41381331 -0.32833724  0.31635001] and der [-0.00152445  0.00118271 -0.00056274]
beta :[ 0.41533776 -0.32951995  0.31691276] and der [-0.00149485  0.00115845 -0.00053667]
beta :[ 0.41683261 -0.33067839  0.31744942] and der [-0.00146596  0.00113475 -0.0005113 ]
beta :[ 0.41829857 -0.33181315  0.31796072] and der [-0.00143776  0.0011116  -0.00048662]
beta :[ 0.41973633 -0.33292475  0.31844734] and der [-0.00141024  0.00108899 -0.0004626 ]
beta :[ 0.42114658 -0.33401374  0.31890994] and der [-0.00138338  0.0010669  -0.00043924]
beta :[ 0.42252996 -0.33508064  0.31934918] and der [-0.00135716  0.00104532 -0.00041652]
beta :[ 0.42388712 -0.33612596  0.3197657 ] and der [-0.00133156  0.00102423 -0.00039442]
beta :[ 0.42521868 -0.3371502   0.32016012] and der [-0.00130658  0.00100364 -0.00037292]
beta :[ 0.42652526 -0.33815383  0.32053303] and der [-0.0012822   0.00098351 -0.00035201]
beta :[ 0.42780746 -0.33913734  0.32088504] and der [-0.00125839  0.00096384 -0.00033167]
beta :[ 0.42906585 -0.34010118  0.32121672] and der [-0.00123515  0.00094463 -0.0003119 ]
0.01,100,0.430300997283,-0.341045813905,0.321528617209
beta :[ 0.  0.  0.] and der [-0.05482304  0.04354099 -0.04876396]
beta :[ 0.05482304 -0.04354099  0.04876396] and der [-0.04828623  0.03836876 -0.04224117]
beta :[ 0.10310927 -0.08190974  0.09100513] and der [-0.04255716  0.03383172 -0.03654047]
beta :[ 0.14566643 -0.11574146  0.1275456 ] and der [-0.03753553  0.0298511  -0.03155936]
beta :[ 0.18320196 -0.14559257  0.15910496] and der [-0.0331335   0.02635791 -0.0272081 ]
beta :[ 0.21633546 -0.17195047  0.18631305] and der [-0.02927415  0.02329172 -0.0234081 ]
beta :[ 0.24560961 -0.19524219  0.20972115] and der [-0.0258901   0.02059962 -0.02009057]
beta :[ 0.27149971 -0.21584181  0.22981172] and der [-0.02292238  0.01823529 -0.01719527]
beta :[ 0.29442209 -0.2340771   0.24700699] and der [-0.02031932  0.01615814 -0.01466944]
beta :[ 0.31474141 -0.25023524  0.26167643] and der [-0.0180357   0.01433264 -0.01246693]
beta :[ 0.3327771  -0.26456788  0.27414336] and der [-0.01603189  0.01272765 -0.01054728]
beta :[ 0.34880899 -0.27729553  0.28469064] and der [-0.01427321  0.01131594 -0.00887511]
beta :[ 0.3630822  -0.28861147  0.29356575] and der [-0.01272927  0.01007361 -0.00741942]
beta :[ 0.37581148 -0.29868508  0.30098517] and der [-0.01137348  0.00897977 -0.00615308]
beta :[ 0.38718496 -0.30766485  0.30713825] and der [-0.01018253  0.0080161  -0.00505234]
beta :[ 0.39736749 -0.31568095  0.31219059] and der [-0.00913602  0.00716657 -0.0040964 ]
beta :[ 0.40650351 -0.32284751  0.316287  ] and der [-0.00821607  0.00641712 -0.00326707]
beta :[ 0.41471958 -0.32926463  0.31955407] and der [-0.00740705  0.00575545 -0.0025484 ]
beta :[ 0.42212663 -0.33502008  0.32210246] and der [-0.00669523  0.00517079 -0.00192644]
beta :[ 0.42882186 -0.34019087  0.3240289 ] and der [-0.00606863  0.00465369 -0.00138899]
beta :[ 0.43489049 -0.34484456  0.32541789] and der [-0.00551672  0.00419587 -0.00092536]
beta :[ 0.4404072  -0.34904043  0.32634325] and der [-0.00503029  0.00379011 -0.00052619]
beta :[ 0.44543749 -0.35283054  0.32686945] and der [-0.00460129  0.00343003 -0.00018331]
beta :[ 0.45003878 -0.35626057  0.32705275] and der [-0.00422264  0.0031101   0.00011046]
beta :[ 0.45426141 -0.35937067  0.32694229] and der [-0.00388816  0.00282542  0.00036138]
beta :[ 0.45814957 -0.36219609  0.32658091] and der [-0.00359243  0.00257174  0.00057495]
beta :[ 0.461742   -0.36476783  0.32600596] and der [-0.00333069  0.0023453   0.00075595]
beta :[ 0.46507269 -0.36711314  0.32525002] and der [-0.0030988   0.00214284  0.00090859]
beta :[ 0.46817149 -0.36925598  0.32434143] and der [-0.00289311  0.00196147  0.00103653]
beta :[ 0.4710646  -0.37121745  0.3233049 ] and der [-0.00271042  0.00179868  0.00114301]
beta :[ 0.47377502 -0.37301612  0.32216189] and der [-0.00254794  0.00165225  0.00123081]
beta :[ 0.47632296 -0.37466837  0.32093108] and der [-0.00240321  0.00152025  0.0013024 ]
beta :[ 0.47872617 -0.37618862  0.31962868] and der [-0.00227409  0.00140098  0.00135993]
beta :[ 0.48100027 -0.37758961  0.31826874] and der [-0.0021587   0.00129296  0.00140528]
beta :[ 0.48315897 -0.37888256  0.31686346] and der [-0.00205538  0.00119487  0.00144008]
beta :[ 0.48521435 -0.38007743  0.31542338] and der [-0.0019627   0.00110556  0.00146577]
beta :[ 0.48717705 -0.38118299  0.31395761] and der [-0.00187938  0.00102404  0.0014836 ]
beta :[ 0.48905642 -0.38220703  0.312474  ] and der [-0.0018043   0.00094942  0.00149467]
beta :[ 0.49086073 -0.38315645  0.31097933] and der [-0.00173651  0.00088092  0.00149993]
beta :[ 0.49259724 -0.38403736  0.3094794 ] and der [-0.00167514  0.00081786  0.00150021]
beta :[ 0.49427238 -0.38485522  0.3079792 ] and der [-0.00161944  0.00075964  0.00149624]
beta :[ 0.49589182 -0.38561487  0.30648296] and der [-0.00156876  0.00070575  0.00148865]
beta :[ 0.49746057 -0.38632061  0.30499431] and der [-0.00152251  0.0006557   0.001478  ]
beta :[ 0.49898309 -0.38697631  0.30351631] and der [-0.0014802   0.00060911  0.00146477]
beta :[ 0.50046329 -0.38758542  0.30205154] and der [-0.00144138  0.0005656   0.00144937]
beta :[ 0.50190467 -0.38815102  0.30060217] and der [-0.00140565  0.00052487  0.00143217]
beta :[ 0.50331032 -0.38867589  0.29917   ] and der [-0.00137268  0.00048663  0.00141349]
beta :[ 0.504683   -0.38916252  0.29775651] and der [-0.00134216  0.00045065  0.0013936 ]
beta :[ 0.50602515 -0.38961317  0.29636292] and der [-0.00131382  0.0004167   0.00137273]
beta :[ 0.50733897 -0.39002987  0.29499018] and der [-0.00128744  0.0003846   0.00135111]
beta :[ 0.50862642 -0.39041447  0.29363907] and der [-0.00126282  0.00035417  0.0013289 ]
beta :[ 0.50988924 -0.39076864  0.29231018] and der [-0.00123976  0.00032527  0.00130626]
beta :[ 0.51112899 -0.39109391  0.29100392] and der [-0.00121811  0.00029776  0.00128332]
beta :[ 0.5123471  -0.39139167  0.2897206 ] and der [-0.00119773  0.00027153  0.0012602 ]
beta :[ 0.51354483 -0.3916632   0.2884604 ] and der [-0.0011785   0.00024647  0.00123699]
beta :[ 0.51472333 -0.39190967  0.28722341] and der [-0.0011603   0.0002225   0.00121379]
beta :[ 0.51588363 -0.39213217  0.28600962] and der [-0.00114305  0.00019952  0.00119065]
beta :[ 0.51702669 -0.39233168  0.28481896] and der [-0.00112666  0.00017747  0.00116765]
beta :[ 0.51815334 -0.39250915  0.28365131] and der [-0.00111104  0.00015627  0.00114484]
beta :[ 0.51926438 -0.39266542  0.28250647] and der [-0.00109614  0.00013588  0.00112225]
beta :[ 0.52036052 -0.3928013   0.28138422] and der [-0.00108189  0.00011624  0.00109993]
beta :[ 0.52144242 -0.39291754  0.28028429] and der [ -1.06824864e-03   9.72922227e-05   1.07790189e-03]
beta :[ 0.52251067 -0.39301483  0.27920639] and der [ -1.05515977e-03   7.90078285e-05   1.05619617e-03]
beta :[ 0.52356583 -0.39309384  0.2781502 ] and der [ -1.04258465e-03   6.13438419e-05   1.03483148e-03]
beta :[ 0.52460841 -0.39315518  0.27711537] and der [ -1.03048612e-03   4.42656315e-05   1.01382416e-03]
beta :[ 0.5256389  -0.39319945  0.27610154] and der [ -1.01883094e-03   2.77418072e-05   9.93187049e-04]
beta :[ 0.52665773 -0.39322719  0.27510835] and der [ -1.00758938e-03   1.17438437e-05   9.72929947e-04]
beta :[ 0.52766532 -0.39323893  0.27413542] and der [ -9.96734754e-04  -3.75424966e-06   9.53060049e-04]
beta :[ 0.52866205 -0.39323518  0.27318236] and der [ -9.86243089e-04  -1.87762186e-05   9.33582288e-04]
beta :[ 0.52964829 -0.3932164   0.27224878] and der [ -9.76092782e-04  -3.33438187e-05   9.14499656e-04]
beta :[ 0.53062439 -0.39318306  0.27133428] and der [ -9.66264328e-04  -4.74770384e-05   8.95813476e-04]
beta :[ 0.53159065 -0.39313558  0.27043847] and der [ -9.56740075e-04  -6.11942953e-05   8.77523646e-04]
beta :[ 0.53254739 -0.39307439  0.26956095] and der [ -9.47504006e-04  -7.45126087e-05   8.59628843e-04]
beta :[ 0.5334949  -0.39299987  0.26870132] and der [ -9.38541551e-04  -8.74477513e-05   8.42126709e-04]
beta :[ 0.53443344 -0.39291243  0.26785919] and der [-0.00092984 -0.00010001  0.00082501]
beta :[ 0.53536328 -0.39281241  0.26703418] and der [-0.00092139 -0.00011223  0.00080829]
beta :[ 0.53628466 -0.39270019  0.26622589] and der [-0.00091317 -0.0001241   0.00079194]
beta :[ 0.53719783 -0.39257609  0.26543395] and der [-0.00090518 -0.00013564  0.00077597]
beta :[ 0.53810301 -0.39244045  0.26465798] and der [-0.00089741 -0.00014686  0.00076037]
beta :[ 0.53900041 -0.3922936   0.26389761] and der [-0.00088984 -0.00015777  0.00074513]
beta :[ 0.53989026 -0.39213583  0.26315248] and der [-0.00088248 -0.00016838  0.00073026]
beta :[ 0.54077273 -0.39196745  0.26242222] and der [-0.00087531 -0.00017871  0.00071573]
beta :[ 0.54164804 -0.39178874  0.26170649] and der [-0.00086832 -0.00018875  0.00070155]
beta :[ 0.54251636 -0.39159998  0.26100494] and der [-0.00086151 -0.00019853  0.00068771]
beta :[ 0.54337787 -0.39140146  0.26031723] and der [-0.00085488 -0.00020804  0.0006742 ]
beta :[ 0.54423276 -0.39119342  0.25964304] and der [-0.00084842 -0.0002173   0.00066101]
beta :[ 0.54508117 -0.39097612  0.25898203] and der [-0.00084211 -0.0002263   0.00064815]
beta :[ 0.54592329 -0.39074982  0.25833388] and der [-0.00083596 -0.00023507  0.00063559]
beta :[ 0.54675925 -0.39051475  0.25769829] and der [-0.00082997 -0.0002436   0.00062334]
beta :[ 0.54758922 -0.39027115  0.25707495] and der [-0.00082412 -0.00025191  0.00061139]
beta :[ 0.54841334 -0.39001924  0.25646356] and der [-0.00081841 -0.00025999  0.00059973]
beta :[ 0.54923175 -0.38975925  0.25586383] and der [-0.00081285 -0.00026786  0.00058835]
beta :[ 0.5500446  -0.38949138  0.25527548] and der [-0.00080741 -0.00027552  0.00057725]
beta :[ 0.55085201 -0.38921586  0.25469822] and der [-0.00080211 -0.00028298  0.00056643]
beta :[ 0.55165412 -0.38893288  0.25413179] and der [-0.00079693 -0.00029024  0.00055587]
beta :[ 0.55245105 -0.38864264  0.25357593] and der [-0.00079188 -0.0002973   0.00054557]
beta :[ 0.55324292 -0.38834534  0.25303036] and der [-0.00078694 -0.00030418  0.00053552]
beta :[ 0.55402987 -0.38804116  0.25249484] and der [-0.00078212 -0.00031088  0.00052572]
beta :[ 0.55481199 -0.38773028  0.25196912] and der [-0.00077742 -0.00031739  0.00051616]
beta :[ 0.55558941 -0.38741289  0.25145296] and der [-0.00077283 -0.00032374  0.00050684]
0.05,100,0.556362238281,-0.387089153051,0.250946122834
beta :[ 0.  0.  0.] and der [-0.10964608  0.08708198 -0.09752792]
beta :[ 0.10964608 -0.08708198  0.09752792] and der [-0.08349882  0.06639305 -0.07143676]
beta :[ 0.1931449  -0.15347502  0.16896468] and der [-0.06381356  0.0507857  -0.05192231]
beta :[ 0.25695846 -0.20426072  0.22088699] and der [-0.04898531  0.03899941 -0.03734461]
beta :[ 0.30594378 -0.24326013  0.2582316 ] and der [-0.03780811  0.03008699 -0.02647179]
beta :[ 0.34375189 -0.27334712  0.28470339] and der [-0.0293758   0.02333662 -0.01837851]
beta :[ 0.37312769 -0.29668373  0.30308189] and der [-0.0230075   0.01821337 -0.01236976]
beta :[ 0.39613519 -0.31489711  0.31545165] and der [-0.01819153  0.01431521 -0.00792356]
beta :[ 0.41432673 -0.32921232  0.32337521] and der [-0.01454342  0.01133995 -0.00464791]
beta :[ 0.42887015 -0.34055227  0.32802311] and der [-0.01177421  0.00906042 -0.00224847]
beta :[ 0.44064436 -0.34961269  0.33027158] and der [-0.00966673  0.00730584 -0.00050426]
beta :[ 0.45031109 -0.35691853  0.33077584] and der [-0.00805774  0.00594777  0.00075058]
beta :[ 0.45836883 -0.3628663   0.33002526] and der [-0.00682454  0.00488962  0.00164055]
beta :[ 0.46519336 -0.36775592  0.32838471] and der [-0.00587487  0.00405873  0.00225901]
beta :[ 0.47106824 -0.37181465  0.3261257 ] and der [-0.00513937  0.00340038  0.00267599]
beta :[ 0.47620761 -0.37521503  0.32344971] and der [-0.00456586  0.0028734   0.00294399]
beta :[ 0.48077347 -0.37808842  0.32050572] and der [-0.00411508  0.00244675  0.00310231]
beta :[ 0.48488855 -0.38053517  0.31740342] and der [-0.00375749  0.00209704  0.00318037]
beta :[ 0.48864604 -0.38263221  0.31422304] and der [-0.00347083  0.00180661  0.00320019]
beta :[ 0.49211688 -0.38443882  0.31102285] and der [-0.00323836  0.00156213  0.00317818]
beta :[ 0.49535524 -0.38600095  0.30784467] and der [-0.00304743  0.00135351  0.00312659]
beta :[ 0.49840267 -0.38735446  0.30471809] and der [-0.00288851  0.00117308  0.00305452]
beta :[ 0.50129118 -0.38852754  0.30166356] and der [-0.00275439  0.00101506  0.00296874]
beta :[ 0.50404557 -0.3895426   0.29869482] and der [-0.00263963  0.000875    0.00287423]
beta :[ 0.5066852 -0.3904176  0.2958206] and der [-0.00254008  0.00074952  0.00277465]
beta :[ 0.50922528 -0.39116712  0.29304594] and der [-0.00245263  0.00063604  0.00267271]
beta :[ 0.51167791 -0.39180316  0.29037323] and der [-0.00237486  0.00053255  0.00257033]
beta :[ 0.51405278 -0.39233571  0.2878029 ] and der [-0.00230497  0.00043749  0.00246892]
beta :[ 0.51635774 -0.3927732   0.28533397] and der [-0.00224154  0.00034966  0.00236946]
beta :[ 0.51859928 -0.39312286  0.28296452] and der [-0.0021835   0.00026809  0.00227261]
beta :[ 0.52078278 -0.39339095  0.2806919 ] and der [-0.00213     0.00019203  0.00217884]
beta :[ 0.52291279 -0.39358298  0.27851306] and der [-0.0020804   0.00012086  0.00208843]
beta :[ 0.52499319 -0.39370384  0.27642463] and der [ -2.03417924e-03   5.40906252e-05   2.00153282e-03]
beta :[ 0.52702737 -0.39375793  0.27442309] and der [ -1.99092250e-03  -8.69109017e-06   1.91822233e-03]
beta :[ 0.52901829 -0.39374924  0.27250487] and der [ -1.95030311e-03  -6.78268600e-05   1.83850472e-03]
beta :[ 0.53096859 -0.39368141  0.27066637] and der [-0.00191205 -0.00012361  0.00176234]
beta :[ 0.53288065 -0.39355781  0.26890403] and der [-0.00187595 -0.00017628  0.00168965]
beta :[ 0.5347566  -0.39338153  0.26721438] and der [-0.00184181 -0.00022606  0.00162035]
beta :[ 0.53659841 -0.39315547  0.26559402] and der [-0.00180948 -0.00027313  0.00155432]
beta :[ 0.5384079  -0.39288234  0.2640397 ] and der [-0.00177883 -0.00031768  0.00149144]
beta :[ 0.54018672 -0.39256466  0.26254826] and der [-0.00174973 -0.00035985  0.0014316 ]
beta :[ 0.54193646 -0.39220481  0.26111666] and der [-0.00172209 -0.00039977  0.00137465]
beta :[ 0.54365855 -0.39180504  0.25974201] and der [-0.00169581 -0.00043758  0.00132049]
beta :[ 0.54535436 -0.39136746  0.25842152] and der [-0.00167082 -0.00047339  0.00126897]
beta :[ 0.54702518 -0.39089407  0.25715255] and der [-0.00164703 -0.00050731  0.00121998]
beta :[ 0.54867221 -0.39038676  0.25593257] and der [-0.00162438 -0.00053945  0.0011734 ]
beta :[ 0.55029659 -0.38984731  0.25475917] and der [-0.00160281 -0.00056989  0.00112912]
beta :[ 0.55189941 -0.38927742  0.25363004] and der [-0.00158226 -0.00059872  0.00108703]
beta :[ 0.55348167 -0.3886787   0.25254302] and der [-0.00156267 -0.00062603  0.00104701]
beta :[ 0.55504434 -0.38805268  0.25149601] and der [-0.001544   -0.00065189  0.00100897]
beta :[ 0.55658834 -0.38740078  0.25048703] and der [-0.00152619 -0.00067639  0.00097281]
beta :[ 0.55811454 -0.38672439  0.24951422] and der [-0.00150921 -0.00069958  0.00093844]
beta :[ 0.55962375 -0.38602481  0.24857578] and der [-0.001493   -0.00072154  0.00090577]
beta :[ 0.56111675 -0.38530327  0.24767   ] and der [-0.00147753 -0.00074233  0.00087472]
beta :[ 0.56259428 -0.38456094  0.24679528] and der [-0.00146277 -0.000762    0.0008452 ]
beta :[ 0.56405705 -0.38379894  0.24595008] and der [-0.00144867 -0.00078062  0.00081714]
beta :[ 0.56550572 -0.38301833  0.24513294] and der [-0.00143521 -0.00079823  0.00079047]
beta :[ 0.56694093 -0.3822201   0.24434248] and der [-0.00142234 -0.00081489  0.00076511]
beta :[ 0.56836327 -0.38140521  0.24357737] and der [-0.00141005 -0.00083064  0.000741  ]
beta :[ 0.56977332 -0.38057457  0.24283637] and der [-0.0013983  -0.00084554  0.00071808]
beta :[ 0.57117162 -0.37972903  0.24211828] and der [-0.00138707 -0.00085961  0.0006963 ]
beta :[ 0.57255869 -0.37886942  0.24142199] and der [-0.00137632 -0.00087292  0.00067558]
beta :[ 0.57393501 -0.3779965   0.24074641] and der [-0.00136604 -0.00088548  0.00065588]
beta :[ 0.57530105 -0.37711102  0.24009053] and der [-0.0013562  -0.00089735  0.00063716]
beta :[ 0.57665725 -0.37621367  0.23945337] and der [-0.00134678 -0.00090855  0.00061935]
beta :[ 0.57800403 -0.37530512  0.23883402] and der [-0.00133776 -0.00091912  0.00060241]
beta :[ 0.57934179 -0.37438599  0.23823161] and der [-0.00132912 -0.00092909  0.00058631]
beta :[ 0.58067091 -0.3734569   0.23764529] and der [-0.00132084 -0.0009385   0.000571  ]
beta :[ 0.58199174 -0.3725184   0.2370743 ] and der [-0.0013129  -0.00094736  0.00055643]
beta :[ 0.58330464 -0.37157104  0.23651787] and der [-0.00130528 -0.00095571  0.00054258]
beta :[ 0.58460992 -0.37061533  0.23597529] and der [-0.00129797 -0.00096357  0.0005294 ]
beta :[ 0.58590789 -0.36965176  0.23544589] and der [-0.00129096 -0.00097097  0.00051686]
beta :[ 0.58719885 -0.3686808   0.23492903] and der [-0.00128423 -0.00097793  0.00050494]
beta :[ 0.58848308 -0.36770287  0.23442409] and der [-0.00127776 -0.00098447  0.00049359]
beta :[ 0.58976084 -0.36671841  0.2339305 ] and der [-0.00127154 -0.00099061  0.0004828 ]
beta :[ 0.59103238 -0.3657278   0.2334477 ] and der [-0.00126556 -0.00099638  0.00047253]
beta :[ 0.59229794 -0.36473142  0.23297518] and der [-0.00125981 -0.00100179  0.00046275]
beta :[ 0.59355775 -0.36372963  0.23251242] and der [-0.00125428 -0.00100685  0.00045345]
beta :[ 0.59481202 -0.36272278  0.23205898] and der [-0.00124895 -0.0010116   0.00044459]
beta :[ 0.59606097 -0.36171118  0.23161438] and der [-0.00124381 -0.00101604  0.00043616]
beta :[ 0.59730478 -0.36069514  0.23117822] and der [-0.00123886 -0.00102019  0.00042814]
beta :[ 0.59854364 -0.35967495  0.23075008] and der [-0.00123409 -0.00102406  0.0004205 ]
beta :[ 0.59977773 -0.35865088  0.23032958] and der [-0.00122948 -0.00102767  0.00041323]
beta :[ 0.60100722 -0.35762321  0.22991635] and der [-0.00122504 -0.00103103  0.0004063 ]
beta :[ 0.60223226 -0.35659217  0.22951005] and der [-0.00122074 -0.00103416  0.0003997 ]
beta :[ 0.603453   -0.35555802  0.22911035] and der [-0.00121659 -0.00103706  0.00039342]
beta :[ 0.60466959 -0.35452096  0.22871693] and der [-0.00121258 -0.00103974  0.00038743]
beta :[ 0.60588217 -0.35348121  0.22832949] and der [-0.00120869 -0.00104223  0.00038173]
beta :[ 0.60709086 -0.35243899  0.22794777] and der [-0.00120493 -0.00104452  0.00037629]
beta :[ 0.6082958  -0.35139447  0.22757147] and der [-0.00120129 -0.00104663  0.00037111]
beta :[ 0.60949709 -0.35034784  0.22720036] and der [-0.00119776 -0.00104856  0.00036617]
beta :[ 0.61069485 -0.34929928  0.22683419] and der [-0.00119433 -0.00105033  0.00036147]
beta :[ 0.61188918 -0.34824895  0.22647272] and der [-0.00119101 -0.00105195  0.00035698]
beta :[ 0.61308019 -0.347197    0.22611574] and der [-0.00118778 -0.00105341  0.0003527 ]
beta :[ 0.61426797 -0.34614359  0.22576305] and der [-0.00118464 -0.00105474  0.00034861]
beta :[ 0.61545261 -0.34508886  0.22541444] and der [-0.00118159 -0.00105593  0.00034471]
beta :[ 0.6166342  -0.34403293  0.22506972] and der [-0.00117862 -0.00105699  0.000341  ]
beta :[ 0.61781283 -0.34297594  0.22472873] and der [-0.00117573 -0.00105793  0.00033745]
beta :[ 0.61898856 -0.34191801  0.22439128] and der [-0.00117292 -0.00105876  0.00033406]
beta :[ 0.62016148 -0.34085925  0.22405722] and der [-0.00117018 -0.00105948  0.00033082]
0.1,100,0.621331657952,-0.339799763794,0.223726396414
beta :[ 0.  0.  0.] and der [-0.54823041  0.43540989 -0.4876396 ]
beta :[ 0.54823041 -0.43540989  0.4876396 ] and der [ 0.10545113 -0.08181341  0.16463931]
beta :[ 0.44277927 -0.35359647  0.32300029] and der [-0.04861803  0.03616111 -0.00516917]
beta :[ 0.4913973  -0.38975758  0.32816946] and der [-0.00731363  0.0015099   0.02789625]
beta :[ 0.49871093 -0.39126748  0.30027321] and der [-0.01450712  0.00550849  0.01364458]
beta :[ 0.51321805 -0.39677597  0.28662863] and der [-0.0105992   0.00122093  0.01246091]
beta :[ 0.52381725 -0.3979969   0.27416772] and der [-0.00992158 -0.00020841  0.00925806]
beta :[ 0.53373883 -0.39778849  0.26490966] and der [-0.00885349 -0.001703    0.00741777]
beta :[ 0.54259232 -0.39608549  0.25749188] and der [-0.00817729 -0.00270909  0.00589882]
beta :[ 0.55076961 -0.3933764   0.25159307] and der [-0.0076283  -0.00347987  0.0047912 ]
beta :[ 0.55839791 -0.38989652  0.24680186] and der [-0.00721529 -0.00404245  0.00395048]
beta :[ 0.5656132  -0.38585407  0.24285139] and der [-0.00689441 -0.00445677  0.00331994]
beta :[ 0.57250761 -0.3813973   0.23953145] and der [-0.00664506 -0.00475809  0.00284454]
beta :[ 0.57915266 -0.37663921  0.23668691] and der [-0.0064488  -0.00497523  0.00248604]
beta :[ 0.58560146 -0.37166398  0.23420086] and der [-0.00629254 -0.00512921  0.00221506]
beta :[ 0.59189401 -0.36653477  0.23198581] and der [-0.0061663  -0.00523591  0.00200972]
beta :[ 0.59806031 -0.36129886  0.22997609] and der [-0.00606262 -0.00530722  0.00185361]
beta :[ 0.60412293 -0.35599165  0.22812248] and der [-0.00597591 -0.00535205  0.00173441]
beta :[ 0.61009883 -0.35063959  0.22638807] and der [-0.00590197 -0.0053771   0.0016429 ]
beta :[ 0.61600081 -0.3452625   0.22474516] and der [-0.00583767 -0.00538735  0.00157216]
beta :[ 0.62183848 -0.33987515  0.223173  ] and der [-0.00578065 -0.00538658  0.00151701]
beta :[ 0.62761913 -0.33448857  0.22165599] and der [-0.00572914 -0.00537758  0.00147355]
beta :[ 0.63334827 -0.32911099  0.22018245] and der [-0.00568182 -0.00536249  0.00143887]
beta :[ 0.63903009 -0.3237485   0.21874358] and der [-0.00563769 -0.00534286  0.00141078]
beta :[ 0.64466778 -0.31840564  0.2173328 ] and der [-0.005596   -0.00531989  0.00138766]
beta :[ 0.65026378 -0.31308575  0.21594514] and der [-0.00555621 -0.00529447  0.00136826]
beta :[ 0.65581999 -0.30779127  0.21457687] and der [-0.00551788 -0.00526727  0.00135168]
beta :[ 0.66133787 -0.30252401  0.2132252 ] and der [-0.00548071 -0.00523877  0.00133721]
beta :[ 0.66681858 -0.29728524  0.21188799] and der [-0.00544446 -0.00520935  0.00132434]
beta :[ 0.67226304 -0.29207589  0.21056365] and der [-0.00540894 -0.0051793   0.00131269]
beta :[ 0.67767198 -0.28689658  0.20925096] and der [-0.00537404 -0.00514883  0.00130195]
beta :[ 0.68304602 -0.28174776  0.20794901] and der [-0.00533964 -0.00511808  0.00129192]
beta :[ 0.68838565 -0.27662968  0.20665709] and der [-0.00530567 -0.00508717  0.00128243]
beta :[ 0.69369132 -0.27154251  0.20537466] and der [-0.00527207 -0.00505621  0.00127336]
beta :[ 0.69896339 -0.2664863   0.2041013 ] and der [-0.00523881 -0.00502524  0.00126461]
beta :[ 0.7042022  -0.26146106  0.20283669] and der [-0.00520585 -0.00499432  0.00125612]
beta :[ 0.70940805 -0.25646675  0.20158057] and der [-0.00517316 -0.00496348  0.00124783]
beta :[ 0.71458121 -0.25150327  0.20033275] and der [-0.00514072 -0.00493275  0.0012397 ]
beta :[ 0.71972194 -0.24657052  0.19909305] and der [-0.00510853 -0.00490215  0.00123171]
beta :[ 0.72483047 -0.24166836  0.19786133] and der [-0.00507657 -0.0048717   0.00122384]
beta :[ 0.72990703 -0.23679666  0.1966375 ] and der [-0.00504482 -0.00484141  0.00121606]
beta :[ 0.73495186 -0.23195526  0.19542144] and der [-0.0050133  -0.00481127  0.00120836]
beta :[ 0.73996515 -0.22714398  0.19421308] and der [-0.00498198 -0.00478131  0.00120074]
beta :[ 0.74494713 -0.22236267  0.19301233] and der [-0.00495086 -0.00475152  0.00119319]
beta :[ 0.74989799 -0.21761116  0.19181914] and der [-0.00491995 -0.0047219   0.0011857 ]
beta :[ 0.75481794 -0.21288926  0.19063345] and der [-0.00488923 -0.00469246  0.00117827]
beta :[ 0.75970717 -0.2081968   0.18945518] and der [-0.00485871 -0.0046632   0.00117089]
beta :[ 0.76456589 -0.2035336   0.18828429] and der [-0.00482838 -0.00463411  0.00116356]
beta :[ 0.76939427 -0.19889949  0.18712073] and der [-0.00479825 -0.00460521  0.00115629]
beta :[ 0.77419252 -0.19429429  0.18596444] and der [-0.0047683  -0.00457648  0.00114906]
beta :[ 0.77896082 -0.18971781  0.18481538] and der [-0.00473855 -0.00454792  0.00114188]
beta :[ 0.78369937 -0.18516988  0.18367349] and der [-0.00470897 -0.00451955  0.00113475]
beta :[ 0.78840834 -0.18065033  0.18253874] and der [-0.00467959 -0.00449135  0.00112767]
beta :[ 0.79308793 -0.17615898  0.18141107] and der [-0.00465039 -0.00446333  0.00112063]
beta :[ 0.79773832 -0.17169565  0.18029044] and der [-0.00462137 -0.00443548  0.00111363]
beta :[ 0.80235968 -0.16726018  0.17917681] and der [-0.00459253 -0.0044078   0.00110668]
beta :[ 0.80695221 -0.16285237  0.17807013] and der [-0.00456387 -0.0043803   0.00109977]
beta :[ 0.81151608 -0.15847208  0.17697036] and der [-0.00453539 -0.00435297  0.00109291]
beta :[ 0.81605147 -0.15411911  0.17587744] and der [-0.00450709 -0.0043258   0.00108609]
beta :[ 0.82055856 -0.14979331  0.17479135] and der [-0.00447896 -0.00429881  0.00107931]
beta :[ 0.82503752 -0.14549449  0.17371204] and der [-0.00445102 -0.00427199  0.00107258]
beta :[ 0.82948854 -0.14122251  0.17263947] and der [-0.00442324 -0.00424533  0.00106588]
beta :[ 0.83391178 -0.13697718  0.17157358] and der [-0.00439564 -0.00421884  0.00105923]
